caseid,birthyr,gender,race,educ,pid3,pid7,presvote20post,inputstate,region,party,visits_adult,visits_nonadult,visits,prop_adult_visits,rep,duration_adult,duration_nonadult,duration,prop_adult_duration,yes_visit_adults,race2,cohort,age,age2,educ2
276704117,1970,1,1,6,3,4,6,36,1,I,0.0,2375.0,2375.0,0.0,,0.0,32570.0,32570.0,0.0,0.0,1,1970,53,2809,4
276849181,1955,1,3,6,3,8,1,51,3,,0.0,1661.0,1661.0,0.0,,0.0,61079.0,61079.0,0.0,0.0,3,1960,68,4624,4
277267437,1984,1,1,3,2,6,6,48,3,R,17.0,2311.0,2328.0,0.7302405498281787,1.0,380.0,54564.0,54944.0,0.6916132789749563,1.0,1,1980,39,1521,3
277352569,1975,1,1,6,3,3,1,36,1,D,0.0,9766.0,9766.0,0.0,0.0,0.0,437695.0,437695.0,0.0,0.0,1,1980,48,2304,4
277713641,1979,2,3,2,1,2,6,8,4,D,0.0,223.0,223.0,0.0,0.0,0.0,11372.0,11372.0,0.0,0.0,3,1980,44,1936,2
278036445,1986,2,1,3,1,2,1,39,2,D,0.0,9025.0,9025.0,0.0,0.0,0.0,464490.0,464490.0,0.0,0.0,1,1990,37,1369,3
278079693,1980,1,7,4,3,4,6,12,3,I,0.0,1874.0,1874.0,0.0,,0.0,129598.0,129598.0,0.0,0.0,5,1980,43,1849,4
278160253,1972,1,1,1,3,5,2,12,3,R,35.0,9985.0,10020.0,0.34930139720558884,1.0,1282.0,489565.0,490847.0,0.26118118273107505,1.0,1,1970,51,2601,1
278170389,1994,1,3,2,3,5,2,48,3,R,0.0,9.0,9.0,0.0,1.0,0.0,222.0,222.0,0.0,0.0,3,1990,29,841,2
278207925,1979,2,4,2,-1,-1,-1,2,4,,0.0,14430.0,14430.0,0.0,,0.0,151260.0,151260.0,0.0,0.0,4,1980,44,1936,2
278330849,1956,2,1,2,1,1,1,41,4,D,0.0,580.0,580.0,0.0,0.0,0.0,13060.0,13060.0,0.0,0.0,1,1960,67,4489,2
278477205,1992,1,7,1,3,8,6,12,3,,,,,,,,,,,,5,1990,31,961,1
278500493,1965,2,1,3,5,8,6,16,4,,0.0,2778.0,2778.0,0.0,,0.0,165305.0,165305.0,0.0,0.0,1,1960,58,3364,3
278558941,1983,1,1,2,-1,-1,-1,28,3,,0.0,658.0,658.0,0.0,,0.0,24333.0,24333.0,0.0,0.0,1,1980,40,1600,2
278587449,1960,2,1,3,2,7,2,35,4,R,0.0,764.0,764.0,0.0,1.0,0.0,55540.0,55540.0,0.0,0.0,1,1960,63,3969,3
2786281,1964,2,2,2,3,3,1,37,3,D,0.0,3385.0,3385.0,0.0,0.0,0.0,76397.0,76397.0,0.0,0.0,2,1960,59,3481,2
278681617,1999,2,1,3,3,3,1,44,1,D,142.0,388.0,530.0,26.79245283018868,0.0,21140.0,49439.0,70579.0,29.952252086314623,1.0,1,2000,24,576,3
