caseid,birthyr,gender,race,educ,pid3,pid7,presvote20post,inputstate,region,party,visits_adult,visits_nonadult,visits,prop_adult_visits,rep,duration_adult,duration_nonadult,duration,prop_adult_duration,yes_visit_adults,race2,cohort,age,age2,educ2
206760065,1963,2,5,1,2,7,-1,40,3,R,0.0,67.0,67.0,0.0,1.0,0.0,3422.0,3422.0,0.0,0.0,5,1960,60,3600,1
2079493,1953,2,1,2,2,6,1,6,4,R,0.0,6099.0,6099.0,0.0,1.0,0.0,318024.0,318024.0,0.0,0.0,1,1950,70,4900,2
208194341,1963,2,1,5,-1,-1,-1,21,3,,0.0,8114.0,8114.0,0.0,,0.0,457530.0,457530.0,0.0,0.0,1,1960,60,3600,4
208262549,2003,1,4,1,5,4,6,48,3,I,0.0,1951.0,1951.0,0.0,,0.0,52018.0,52018.0,0.0,0.0,4,2000,20,400,1
208352141,1963,2,1,3,3,4,2,12,3,I,0.0,6444.0,6444.0,0.0,,0.0,118486.0,118486.0,0.0,0.0,1,1960,60,3600,3
208399637,1962,2,1,5,1,2,1,21,3,D,0.0,128.0,128.0,0.0,0.0,0.0,9889.0,9889.0,0.0,0.0,1,1960,61,3721,4
2084559,1968,2,3,2,1,2,1,34,1,D,0.0,6838.0,6838.0,0.0,0.0,0.0,254652.0,254652.0,0.0,0.0,3,1970,55,3025,2
208561057,1990,2,1,2,2,7,2,36,1,R,0.0,1020.0,1020.0,0.0,1.0,0.0,22535.0,22535.0,0.0,0.0,1,1990,33,1089,2
2091803,1946,1,1,2,2,7,2,12,3,R,0.0,5241.0,5241.0,0.0,1.0,0.0,220535.0,220535.0,0.0,0.0,1,1950,77,5929,2
209200697,1987,1,1,2,-1,-1,-1,55,2,,0.0,771.0,771.0,0.0,,0.0,76387.0,76387.0,0.0,0.0,1,1990,36,1296,2
209277141,1972,1,1,4,2,6,2,27,2,R,0.0,89.0,89.0,0.0,1.0,0.0,16986.0,16986.0,0.0,0.0,1,1970,51,2601,4
209668689,2000,1,1,2,3,4,-1,12,3,I,0.0,41.0,41.0,0.0,,0.0,26832.0,26832.0,0.0,0.0,1,2000,23,529,2
210012397,1961,1,5,4,1,1,1,20,2,D,386.0,5633.0,6019.0,6.413025419504901,0.0,6442.0,110570.0,117012.0,5.5054182477010905,1.0,5,1960,62,3844,4
210158485,1979,2,1,3,2,6,2,47,3,R,1.0,473.0,474.0,0.21097046413502107,1.0,0.0,31150.0,31150.0,0.0,1.0,1,1980,44,1936,3
210277869,1965,2,1,3,2,7,2,48,3,R,0.0,191.0,191.0,0.0,1.0,0.0,6422.0,6422.0,0.0,0.0,1,1960,58,3364,3
210362181,1979,2,3,3,1,1,1,53,4,D,1412.0,1231.0,2643.0,53.424139235716986,0.0,325662.0,72182.0,397844.0,81.85670765425644,1.0,3,1980,44,1936,3
2109537,1951,2,1,2,1,1,1,17,2,D,0.0,8244.0,8244.0,0.0,0.0,0.0,192173.0,192173.0,0.0,0.0,1,1950,72,5184,2
211091057,1995,2,1,1,-1,-1,-1,48,3,,0.0,197.0,197.0,0.0,,0.0,9392.0,9392.0,0.0,0.0,1,2000,28,784,1
211431193,1963,2,1,5,1,1,1,34,1,D,0.0,4070.0,4070.0,0.0,0.0,0.0,219007.0,219007.0,0.0,0.0,1,1960,60,3600,4
212105717,1968,2,1,5,-1,-1,-1,8,4,,0.0,6235.0,6235.0,0.0,,0.0,132729.0,132729.0,0.0,0.0,1,1970,55,3025,4
212617425,1997,2,2,4,-1,-1,-1,37,3,,0.0,4351.0,4351.0,0.0,,0.0,59881.0,59881.0,0.0,0.0,2,2000,26,676,4
213028557,1952,2,1,5,1,1,1,41,4,D,0.0,133.0,133.0,0.0,0.0,0.0,3944.0,3944.0,0.0,0.0,1,1950,71,5041,4
213370877,1965,2,1,3,3,5,2,4,4,R,48.0,4092.0,4140.0,1.1594202898550725,1.0,4876.0,90787.0,95663.0,5.097059469178261,1.0,1,1960,58,3364,3
213655221,1976,2,1,2,5,4,-1,13,3,I,0.0,3774.0,3774.0,0.0,,0.0,46362.0,46362.0,0.0,0.0,1,1980,47,2209,2
213819745,1962,2,1,2,1,2,-1,21,3,D,0.0,1019.0,1019.0,0.0,0.0,0.0,20387.0,20387.0,0.0,0.0,1,1960,61,3721,2
214407333,1954,2,1,5,2,6,2,46,2,R,3.0,10885.0,10888.0,0.027553269654665688,1.0,116.0,443144.0,443260.0,0.026169742363398456,1.0,1,1950,69,4761,4
214412653,1969,2,1,3,3,5,2,17,2,R,0.0,140.0,140.0,0.0,1.0,0.0,5948.0,5948.0,0.0,0.0,1,1970,54,2916,3
214518153,1972,2,1,3,1,2,6,26,2,D,10.0,85.0,95.0,10.526315789473683,0.0,1986.0,2427.0,4413.0,45.00339904826649,1.0,1,1970,51,2601,3
2146835,1941,1,1,3,1,1,1,41,4,D,0.0,1779.0,1779.0,0.0,0.0,0.0,659633.0,659633.0,0.0,0.0,1,1940,82,6724,3
215010721,1972,1,1,2,3,4,5,4,4,I,753.0,12243.0,12996.0,5.7940904893813485,,48732.0,401179.0,449911.0,10.83147555849935,1.0,1,1970,51,2601,2
215261525,1988,2,1,5,1,2,1,5,3,D,0.0,6636.0,6636.0,0.0,0.0,0.0,196332.0,196332.0,0.0,0.0,1,1990,35,1225,4
216048809,1979,2,1,5,1,1,1,39,2,D,0.0,466.0,466.0,0.0,0.0,0.0,13479.0,13479.0,0.0,0.0,1,1980,44,1936,4
216052633,1966,1,1,2,3,4,2,33,1,I,0.0,7794.0,7794.0,0.0,,0.0,233793.0,233793.0,0.0,0.0,1,1970,57,3249,2
216457,1976,2,1,2,2,7,2,27,2,R,0.0,1578.0,1578.0,0.0,1.0,0.0,48933.0,48933.0,0.0,0.0,1,1980,47,2209,2
2167149,1933,1,1,2,2,7,2,19,2,R,0.0,7428.0,7428.0,0.0,1.0,0.0,88603.0,88603.0,0.0,0.0,1,1930,90,8100,2
216812081,1947,1,4,6,1,1,-1,-1,-1,D,0.0,7095.0,7095.0,0.0,0.0,0.0,236453.0,236453.0,0.0,0.0,4,1950,76,5776,4
2171195,1960,1,1,5,2,7,2,37,3,R,0.0,783.0,783.0,0.0,1.0,0.0,26180.0,26180.0,0.0,0.0,1,1960,63,3969,4
217150353,1979,2,1,2,5,8,6,47,3,,0.0,862.0,862.0,0.0,,0.0,51334.0,51334.0,0.0,0.0,1,1980,44,1936,2
217191545,1964,2,1,4,1,2,1,41,4,D,0.0,3166.0,3166.0,0.0,0.0,0.0,198959.0,198959.0,0.0,0.0,1,1960,59,3481,4
217806309,1956,2,1,2,2,7,2,56,4,R,0.0,13615.0,13615.0,0.0,1.0,0.0,449942.0,449942.0,0.0,0.0,1,1960,67,4489,2
218611053,1976,2,1,2,2,7,2,36,1,R,0.0,3341.0,3341.0,0.0,1.0,0.0,177970.0,177970.0,0.0,0.0,1,1980,47,2209,2
218746945,1993,2,1,2,1,2,6,36,1,D,52.0,689.0,741.0,7.017543859649122,0.0,5010.0,29989.0,34999.0,14.314694705563017,1.0,1,1990,30,900,2
219060241,1982,2,1,2,3,8,-1,34,1,,0.0,6619.0,6619.0,0.0,,0.0,67137.0,67137.0,0.0,0.0,1,1980,41,1681,2
219068937,1987,2,4,6,2,6,-1,10,3,R,,,,,1.0,,,,,,4,1990,36,1296,4
219232573,1976,2,2,3,1,1,1,51,3,D,673.0,799.0,1472.0,45.72010869565217,0.0,32396.0,20616.0,53012.0,61.110691918810836,1.0,2,1980,47,2209,3
219256429,1957,1,6,6,-1,-1,-1,12,3,,0.0,3156.0,3156.0,0.0,,0.0,48970.0,48970.0,0.0,0.0,5,1960,66,4356,4
219344965,1996,2,1,3,1,1,6,40,3,D,3.0,201.0,204.0,1.4705882352941175,0.0,516.0,12991.0,13507.0,3.8202413563337525,1.0,1,2000,27,729,3
219478189,1987,2,1,5,3,4,2,21,3,I,0.0,335.0,335.0,0.0,,0.0,12654.0,12654.0,0.0,0.0,1,1990,36,1296,4
219478277,1965,2,3,5,4,8,-1,37,3,,0.0,219.0,219.0,0.0,,0.0,7138.0,7138.0,0.0,0.0,3,1960,58,3364,4
