unique_url,url_class
hybridgenesis.com,Humor/Comics
basicvitamins.com,Health
jerseygolf.com,Sports
1stopinfoshop.com,UNKNOWN
discountborders.net,Online Shopping
stencilsandstitches.com,UNKNOWN
boyzwithboyz.co.uk,Pornography
solpoker.com,UNKNOWN
68.11.121.30,UNKNOWN
porntape.com,Pornography
mosucker.tk,Parked Domain
webaula.com.br,Education/Reference
americanidolgame.com,Games
foreverlindalee.com,Pornography
directvinternet.com,Internet Services
filmsondisc.com,Entertainment
allpro.com,Gambling
kapook.com,Portal Sites
militia-watchdog.org,Politics/Opinion
firstquadrant.org,Online Shopping
villastrip.de,Pornography
hrlawgroup.org,Non-Profit/Advocacy/NGO
picnicstop.com,UNKNOWN
oreilly.com,Technical Information
kiwanis.org,Non-Profit/Advocacy/NGO
dialermax.com,Pornography
jean-georges.com,Restaurants
naughtysearch.com,Pornography
chocolate-ass.com,Pornography
taranaki.ac.nz,Business
elmundomaya.com,Travel
houstonenergyfootball.com,Sports
stiers.com,Online Shopping
redsal.com,Entertainment
athensplus.com,Public Information
salick.com,Health
valuekard.com,Travel
art-deco.com,Art/Culture/Heritage
holidays4less.co.uk,Travel
lesbianxxxmovies.com,Pornography
incrediblepuppies.com,UNKNOWN
affordablestock.com,Stock Trading
convert2videocd.com,Pornography
seed.net.tw,Portal Sites
mandrake.com,Software/Hardware
nastymoms.net,Pornography
edatoolscafe.com,Business
youngmale.com,Pornography
winning-money-attitude.com,UNKNOWN
thongstars.com,Malicious Sites
kokh25.com,General News
lustler.com,Malicious Sites
freepussyshots.net,Pornography
sdsc.edu,Education/Reference
in4web.com,UNKNOWN
transnational.org,Education/Reference
talktocarl.com,UNKNOWN
practical-weight-loss.com,Health
tmstx.com,UNKNOWN
fandangomusicshop.net,Entertainment
federalextension.com,Marketing/Merchandising
dogfartgangbangs.com,Pornography
freeprize44.com,UNKNOWN
leadermarkets.com,Marketing/Merchandising
bustyourgut.com,UNKNOWN
172.155.157.89,UNKNOWN
sclegend.com,Parked Domain
ndlorg.com,Pornography
onesixtysevenaday.com,Marketing/Merchandising
negroleagueshop.com,Online Shopping
smartcar-owner.co.uk,Marketing/Merchandising
extremeautofest.com,Provocative Attire
20miracle.com,UNKNOWN
idahoarchery.com,Sports
oldcycleparts.com,UNKNOWN
mix-it-baby.de,Entertainment
mekus.com,Real Estate
rainmusic.com,Entertainment
weedseedshop.com,Drugs
websitebills.com,Internet Services
td-laborant.ru,Marketing/Merchandising
personalizeit.com,Entertainment
genderbenders.com,Pornography
68.49.169.247,UNKNOWN
lovelyxlook.com,Pornography
morrisdesigns.com,Online Shopping
fallenstars.com,Entertainment
wphltv.com,Entertainment
animeone.com,Entertainment
1043fm.com.au,Entertainment
ppdpr.net,Politics/Opinion
charlottechurch.net,Entertainment
malecelebpicgallery.com,Pornography
firstchoicetools.com,Parked Domain
grannysexphotos.com,Pornography
hotelkritiken.de,Travel
boatforsale.net,Online Shopping
adult-paysite-reviews.com,Pornography
boomshaka.com,Entertainment
threelionstradingco.com,Health
wallpaper-runterladen.de,Art/Culture/Heritage
adultclassified.net,Pornography
darktide.nu,UNKNOWN
tremblant.com,Travel
legalcannabis.com,Drugs
purpurhain.de,Entertainment
caloriechart.org,Health
shorelinemtg.com,Finance/Banking
sex-galore.com,Pornography
66.26.142.85,UNKNOWN
slco.org,Public Information
silvertab.com,Fashion/Beauty
taichisexherb.com,Pornography
tryaol.com,UNKNOWN
eurekacampingctr.com,Online Shopping
pb-travel.com,Travel
best-blinds.com,Online Shopping
cosmeticsurgerynetwork.org,Health
64.247.113.207,UNKNOWN
windowsfordevices.com,Software/Hardware
teamcanyon.com,Parked Domain
216.66.69.70,Streaming Media
appliedsoc.org,Business
cashvoomp.com,UNKNOWN
iranpress.com,General News
nastylittlepics.com,Pornography
pumpkinpatch.com,Art/Culture/Heritage
adultplaymall.com,Pornography
bobrowtest.com,Education/Reference
172.133.161.159,UNKNOWN
peterreid.com,Sports
greatwesternbankia.com,Finance/Banking
funvacation.net,Travel
anet.fr,Internet Services
absolutextc.com,Pornography
surfacefinishing.com,Online Shopping
gardenbed.com,Entertainment
bonde.com.br,Portal Sites
thunderexpress.com,Nudity
jdsoft.dk,UNKNOWN
indoorclimbing.com,Entertainment
breaddaily.com,UNKNOWN
tokensystems.com,Online Shopping
pajacubana.com,Pornography
esplexo.co.uk,Internet Services
facebangers.com,Pornography
servicehotline.com,Real Estate
beobasket.co.yu,UNKNOWN
otc-guide.com,Finance/Banking
x-orgy.com,Potential Criminal Activities
magitex.org,Blogs/Wiki
bunk-beds-loft-beds.com,Online Shopping
animalalliance.ca,Non-Profit/Advocacy/NGO
bayrock.com,Finance/Banking
jungle.pl,Parked Domain
24.13.11.0,UNKNOWN
cibiotech.org,Pornography
skybench.com,Marketing/Merchandising
momof9splace.com,Personal Pages
odlqc.org.uk,Government/Military
flightinternational.com,General News
viack.com,Software/Hardware
falguiere36.org,Pornography
asiangirlsmagazine.com,Pornography
lotruk.com,Entertainment
penski.com,Job Search
loanecity.com,Finance/Banking
extreme-hosting.net,Business
liberty-profit.com,Finance/Banking
hasslefreecarbuying.com,Online Shopping
racewaypark.com,Sports
dalidesign.com,Business
24.12.7.186,UNKNOWN
trafficincrease.com,Blogs/Wiki
geohaz.org,Business
theautopartsdirectory.com,Marketing/Merchandising
kursy-mid.ru,Education/Reference
68.81.140.116,UNKNOWN
ventura.org,Government/Military
naked-black-teens.com,Pornography
fmaware.org,Non-Profit/Advocacy/NGO
rcryachts.com,Software/Hardware
theeaglesgarden.com,UNKNOWN
ziare.ro,Public Information
delphigroup.com,Business
viisage.com,Business
nmpft.org.uk,Art/Culture/Heritage
army.org.uk,Internet Services
gwen-follies.com,Pornography
aquacon.com,Online Shopping
kumed.com,Health
autodirect-jp.com,Pornography
muffmeister.com,Pornography
jeanetterundgren.net,Pornography
doverhk.com,Forum/Bulletin Boards
appo.ru,Malicious Sites
pound002-cable-descramblers-and-tv-box.com,Online Shopping
heavenlymatchmaker.com,UNKNOWN
walterjohnson.com,Education/Reference
midnightdragontattoo.com,Fashion/Beauty
smallbusinessgrants-loans.com,Finance/Banking
par4safelist.com,UNKNOWN
paintballgateway.com,Online Shopping
okanagan-bc.com,Public Information
ebc.ee,Education/Reference
inkatomi.net,UNKNOWN
warezgeek.com,Potential Criminal Activities
eqtraders.com,Games
tycohealthcarecareers.com,Malicious Sites
glasscaketops.com,Online Shopping
pursesandhandbags.com,Fashion/Beauty
z-6.net,Marketing/Merchandising
brewstercheese.com,Health
infonet.ro,Forum/Bulletin Boards
annegeddesuntilnow.com,Entertainment
harvestcomm.net,Software/Hardware
prints-dir.com,UNKNOWN
infertilitytutorials.com,Health
erikstormtrooper.com,Entertainment
onlinesoftweb.com,Internet Services
151.198.140.246,UNKNOWN
dreamtimer.info,UNKNOWN
211.55.211.76,UNKNOWN
intothemusic.net,Pornography
chag.org,Real Estate
mogirlsusa.com,Pornography
toyotter.com,Marketing/Merchandising
claremontmckenna.edu,Education/Reference
sexcompote.com,Pornography
angelsonmyside.com,Religion/Ideologies
countuh.com,Malicious Sites
fetteredpleasures.com,Online Shopping
constitutioncenter.org,Art/Culture/Heritage
orgyteen.com,Pornography
grammer.com,Business
quiz.co.uk,Entertainment
dermodyandmahar.com,Online Shopping
freesexcontent.com,Pornography
kupimsiostrov.com,Pornography
charmingdelusions.net,UNKNOWN
laurapoesias.com,Entertainment
guanxi.com,Dating/Personals
friesenchevy.com,UNKNOWN
217.31.52.40,Pornography
thedarkangel.co.uk,Online Shopping
romster.net,Games
accuratrack.com,Internet Services
packman.com,UNKNOWN
eyvette.com,Pornography
dialaphone.co.uk,Online Shopping
markslinks.com,Pornography
mrbaseball.com,Online Shopping
iwritethemusic.com,Entertainment
continentalacademy.com,Education/Reference
sctelcom.net,Business
aht.org.uk,Health
securitysb.com,Finance/Banking
actionstunguns.com,Online Shopping
e-setforlifenow.com,Finance/Banking
wecaremedicalmall.org,Health
amateurbaseball.net,Sports
familylandwaterpark.com,Recreation/Hobbies
dirtymilfs.com,Pornography
chicagolocalbands.com,Entertainment
barcodebook.com,Software/Hardware
netgetporn.com,Pornography
rpg.gr,UNKNOWN
bfaa.net,Non-Profit/Advocacy/NGO
vbwire.com,Business
68.96.160.239,UNKNOWN
net-detective-2000.net,UNKNOWN
oklahomasportspark.com,Sports
usedboatsbuysell.com,Auctions/Classifieds
outsourcing-search.com,Portal Sites
caribe.net,Internet Services
dhy.com,Marketing/Merchandising
uruguaynatural.com,Government/Military
dudesnaked.com,Pornography
tenthousandpennies.com,UNKNOWN
nude-gifs.com,Pornography
heavydutytool.com,Business
avidian.com,Software/Hardware
spacecast.com,Entertainment
livingtoday.tv,Travel
culitoscalientes.com,Pornography
healthpoint.com,Health
chaosstore.com,Humor/Comics
tommysgirls.net,Pornography
observer.com,General News
cnsfn.com,General News
sysbuilder.com,Online Shopping
oldemillmotors.com,UNKNOWN
sdhistory.org,Non-Profit/Advocacy/NGO
bukkakepool.com,Pornography
angrylove.com,Internet Services
paganblood.com,Malicious Sites
realdata.com,Real Estate
nvdietist.nl,UNKNOWN
67.163.42.179,UNKNOWN
bathtublove.com,Pornography
ligne-roset-usa.com,Real Estate
latamnews.com,General News
1guideusa.com,UNKNOWN
sapmotorparts.com,Marketing/Merchandising
tmade.nl,Business
city-centre-hotels.com,Travel
holiday.ru,Dating/Personals
prorev.com,Health
fsim.net,Games
midr.com,Software/Hardware
managementconsultantgroup.com,Business
myseasilver.net,UNKNOWN
mytypewriter.com,Art/Culture/Heritage
ambercrombie.com,Parked Domain
careerkey.com,Job Search
pitbullsecrets.com,Online Shopping
mensshoenet.com,Sports
i-want-a-website.com,Personal Pages
bikeweb.org,Portal Sites
artworx.com,Art/Culture/Heritage
mydiscoverzone.com,Education/Reference
kak-po-tv.ru,UNKNOWN
paramountpleasures.co.uk,Online Shopping
xxx4pleasure.com,Pornography
janpatekquilts.com,Online Shopping
lyssa.org,Blogs/Wiki
morbidcreations.com,Games
esmail.com,Entertainment
cathedralcity.gov,Government/Military
172.176.212.12,UNKNOWN
zr-7.com,Marketing/Merchandising
businessneedz.com,Software/Hardware
beechfinance.co.uk,Finance/Banking
goldsluts.net,Pornography
connectonline.com,Portal Sites
temeculahomes.com,Real Estate
cash-register.com,Parked Domain
audiolit.net,Religion/Ideologies
dimensionrug.com,Online Shopping
livinaroundthesims.com,UNKNOWN
intelecard.com,Portal Sites
gold-vest.com,UNKNOWN
pelonis.com,Real Estate
corima.com,Online Shopping
lastminute-getaways.com,Travel
bulletads.com,Internet Services
100mbit.net,UNKNOWN
storepower-wholesale.com,Online Shopping
editoriallapaz.org,Religion/Ideologies
wachsjoe.de,Entertainment
nsyncfansunited.com,UNKNOWN
65.222.158.138,UNKNOWN
65.27.183.48,UNKNOWN
goodmoney.com,Stock Trading
keyspace.de,Internet Services
81.29.69.140,UNKNOWN
hardincest.com,Pornography
cameltoe-pusy-phorn-fantasies.com,Pornography
benelli.it,Weapons
free-ass-pics-4u.com,Pornography
working4u.org.uk,UNKNOWN
biscaynesuites.com,Travel
66.91.112.209,UNKNOWN
netmax.com,Business
movieguide.com.au,Entertainment
da-lounge.com,Blogs/Wiki
tombraidergirl.de,Games
edutest.com,Education/Reference
imesh.org,Internet Services
vstore.ca,Business
diamond-sky.net,UNKNOWN
caslon.com.au,Business
nccn.net,Portal Sites
work-at-home.com,Parked Domain
deovindice.org,Extreme
clipsxxx.com,Pornography
24fightingchickens.com,Online Shopping
mnmclub.com,Marketing/Merchandising
poog.info,Anonymizers
irish-sayings.com,Personal Pages
wellie-boots.com,Online Shopping
theimagehosting.com,Media Sharing
addinternet.com.ar,Internet Services
isp43.co.uk,UNKNOWN
arts-e-cards.com,Digital Postcards
nice-guys.com,Portal Sites
nightmov.biz,Pornography
perfectfit.com,Stock Trading
creative-effort.com,UNKNOWN
67.60.141.203,UNKNOWN
shop-4-savings.com,Online Shopping
f1-racing.org,Entertainment
manga-movie.de,Pornography
polish-teens.com,Pornography
icreatemagic.com,Fashion/Beauty
172.147.206.164,UNKNOWN
extremehealthproducts.com,UNKNOWN
maqsdesign.com,Marketing/Merchandising
cipmotorsports.com,Online Shopping
168.122.208.158,UNKNOWN
minhvan.com,Parked Domain
petvetdirect.com,Marketing/Merchandising
customcalls.com,Sports
sexystudz.com,Pornography
vara.org,Sports
20millionhits.com,Malicious Sites
storybooksthatteach.com,Education/Reference
no-lot-auto-dealer-license.com,Marketing/Merchandising
satstop.com,UNKNOWN
houseofpain-tattoo.com,Online Shopping
carharttfootwear.com,Online Shopping
so-calspeedshop.com,Entertainment
seapointe.com,Business
espnsportszone.com,Chat
tithingcomputersales.com,UNKNOWN
implantsciences.com,Health
iwagersports.com,UNKNOWN
less-stress.com,Health
uorares.com,Games
lawyerslistings.com,Government/Military
eroconcept.com,Pornography
arcamedialaser.com,Art/Culture/Heritage
photo-of-rape.com,Pornography
alltheshops.co.uk,Parked Domain
itswalky.com,Entertainment
asmens.info,UNKNOWN
e-mailblasters.com,Internet Services
elefante.com.br,Interactive Web Applications
flagart.com,Online Shopping
raschet.ru,Business
216.234.169.141,UNKNOWN
earth-photo.com,Marketing/Merchandising
michiganlcoc.org,Recreation/Hobbies
on-line-loan-quote.com,Finance/Banking
netfilia.com,Web Ads
westminster.edu,Education/Reference
britesmiletogo.com,Fashion/Beauty
vrouwenerotiek.nl,Pornography
prepinc.com,Health
blackadultvideostore.com,Pornography
xxxnooky.com,Pornography
avcorpinc.com,UNKNOWN
genxcustoms.com,UNKNOWN
bigtome.com,Portal Sites
bmaquatics.com,Internet Services
coloniasexy.com,Pornography
heatwatch.com,Business
xtcauto.com,Malicious Downloads
fairlong.com,Online Shopping
magicthegatheringonline.com,Parked Domain
liarsliarsliars.com,Entertainment
globalsweet.com,Health
ashford.com,Online Shopping
leelocator.com,Fashion/Beauty
sunglogreenhouses.com,Real Estate
inforport.com,Parked Domain
myfemaleorgasm.com,Online Shopping
meaning-of-dreams.com,Spam URLs
mariaeugeniarito.com,Pornography
stpetehigh.com,Education/Reference
68.96.193.197,UNKNOWN
pollexes.com,UNKNOWN
mslsimplehomesolutions.com,UNKNOWN
hypoglycemia.org,Health
freesexchatrooms.com,Pornography
acdelcotds.com,Marketing/Merchandising
kelt.com,Internet Services
cumshot-blowjobs.com,Pornography
intermail.co.il,Web Mail
nikkicleary.com,Entertainment
bargain.net,Games
rootshell.org,Online Shopping
imhotep.net,Parked Domain
pillformen.com,Health
akshfrueq.info,UNKNOWN
cartraderonline.com,Marketing/Merchandising
bworldonline.com,General News
2numerology.com,Religion/Ideologies
flash-mx.com,Software/Hardware
ediscounttruck.com,Motor Vehicles
68.58.34.252,UNKNOWN
xxxrated-porn.com,Pornography
steamandsauna.com,Real Estate
laptopinc.com,Online Shopping
mariah.ru,UNKNOWN
dyslexia-test.com,Education/Reference
apdonline.org,Public Information
mdbank.com,Finance/Banking
amgserver.com,Potential Illegal Software
homoeopathy.org,Health
gaywholesale.com,Pornography
healthygrow.biz,Health
comstarvitamins.com,UNKNOWN
ulaverne.edu,Education/Reference
rightish.com,UNKNOWN
payko.com,Stock Trading
horrormovies.com,Online Shopping
ihmeede.info,UNKNOWN
homefinders.ca,Real Estate
2dmc.com,Internet Services
mrc.org.uk,Religion/Ideologies
nmsexoffender.com,Public Information
multisporttraining.com,Sports
casual-exiles.co.uk,Forum/Bulletin Boards
greergardens.com,Marketing/Merchandising
bigblackmama.com,Pornography
lww-trans.com,Finance/Banking
pornclub.tv,Pornography
cmmoreres.com,Health
harpster-canopies.com,Online Shopping
domkink.com,Pornography
v968.com,UNKNOWN
ringtoneparty.com,Mobile Phone
livexxxshows.net,Pornography
incbggc.info,UNKNOWN
hardcorebadass.com,Pornography
web-span.com,Business
goutcure.com,Health
justplanemodels.com,Marketing/Merchandising
wedding-dresses-gowns.com,Fashion/Beauty
bizeach.com,UNKNOWN
goldlynks.com,UNKNOWN
thegirlsroom.net,Malicious Sites
hangviet.com,UNKNOWN
moose.com,Marketing/Merchandising
sexy-chubby-women.com,Pornography
cysis.com,Software/Hardware
airbrushshoppe.com,Art/Culture/Heritage
rosebowlparade.com,Malicious Sites
nfcom.com,Finance/Banking
sunyit.edu,Education/Reference
pupule.com,Fashion/Beauty
sexhibition-gallery.com,Pornography
adamhart.com,Pornography
stego.com,Pornography
vacumed.com,Online Shopping
steroidtips.com,Online Shopping
bestfed.com,Education/Reference
freepornhit.com,Pornography
humidorslimited.com,Tobacco
histoire-image.com,Art/Culture/Heritage
xxxforsex.com,Pornography
ratemywedgie.com,Pornography
bidcraz.com,UNKNOWN
dresden-tourist.de,Portal Sites
createabearfactory.org,Online Shopping
musicexpert.com,Entertainment
championhomes.net,Real Estate
axpit.com,UNKNOWN
mccsokinawa.com,Government/Military
cannabislandia.com,Drugs
diverwest.com,Sports
ebonyblowjobs.com,Pornography
l05.net,Malicious Sites
holidayjunction.com,Travel
funeral.com,Online Shopping
firstplacebank.net,Finance/Banking
bobsfactory.net,Pornography
netdirect.co.jp,Online Shopping
rentalpropertiesusa.com,Finance/Banking
homeland-security-products.com,Weapons
24.33.150.150,UNKNOWN
knotholestation.com,Online Shopping
markii.com,Marketing/Merchandising
firewerx.com,UNKNOWN
e-healthplus.com,Health
rdwufa.ru,Job Search
background-checks.net,Public Information
strengthofnature.com,Fashion/Beauty
audioprecision.com,Online Shopping
radiosnoop.com,UNKNOWN
alterbridge.com,Entertainment
yo-movies.com,UNKNOWN
pahfcu.org,Finance/Banking
autofocus.com,Parked Domain
logicmazes.com,Entertainment
geasset.com,Business
nofelet.by,Online Shopping
swfigures.com,Entertainment
seepornstarpics.com,Pornography
hippoindustries.com,Business
angriesout.com,Education/Reference
amateurbowlerstour.com,Sports
pennyshareadvisor.com,Internet Services
oakcraft.com,Online Shopping
moviequote.net,Entertainment
audiobox.com,Parked Domain
accessgranted.co.uk,Parked Domain
modemclub.com.br,Software/Hardware
realhards.net,Pornography
128.211.201.202,UNKNOWN
wickerwarehouse.com,Online Shopping
goodwebtips.com,UNKNOWN
babbittssportscenter.com,Sports
wcra.org,Travel
search4tal.com,UNKNOWN
oise.net,Education/Reference
ebiling.pl,Mobile Phone
nudeblondewomen.com,Pornography
internetcamcordersdirect.co.uk,Online Shopping
motor-parts.com,Marketing/Merchandising
wbgirls.com,Pornography
wimbleton.org,General News
sexy-hot-chicks.com,Pornography
corazoncitodebebe.com,UNKNOWN
broomsticksandowls.com,Education/Reference
edidomus.it,Marketing/Merchandising
bizarre-host.com,Internet Services
foodandwine.com,Restaurants
old-hippie.com,General News
theweblogreview.com,Internet Services
minitruckinweb.com,Entertainment
cultura.ru,Online Shopping
cncnz.com,Games
nomenugget.com,General News
sunnyboygardens.com,Marketing/Merchandising
bigshotlinks.com,Pornography
206.123.71.197,Business
dyeabledeals.com,Online Shopping
searchme2.com,UNKNOWN
chu-chu-love.com,Pornography
bigfast.net,Business
greencardlottery.tk,Education/Reference
gamblingscene.com,UNKNOWN
karaokecenter.com,Online Shopping
diariodecadiz.com,General News
isrperformance.com,Marketing/Merchandising
centraldownload.org,Forum/Bulletin Boards
finepots.com,Art/Culture/Heritage
secretsofthetomb.com,Education/Reference
addictivetechnologies.com,Spyware/Adware/Keyloggers
place4homes.com,Real Estate
bigcitycasino.net,UNKNOWN
polarbabies.com,Online Shopping
dbzwarriors.com,Entertainment
contrateen.com,Pornography
dedicateit.com,UNKNOWN
kerr.com,Personal Pages
aceimport.com,Online Shopping
rentons.com,Online Shopping
geesh.com,Gambling
stars21.com,Education/Reference
new-car-dealers.com,Marketing/Merchandising
proselectsports.com,Sports
eaznet.com,Internet Services
bad-apple.com,Pornography
revlimiterracing.com,Marketing/Merchandising
home123partners.com,Real Estate
scienceandsociety.co.uk,Art/Culture/Heritage
wetdir.com,Pornography
test-preparation.net,Marketing/Merchandising
flashsky.com,Mobile Phone
americaniron.com,Entertainment
sexmaforo.com,Pornography
h2otest.com,Online Shopping
1stopbondagevideos.com,Pornography
freesilverbracelet.com,Online Shopping
keyspan.com,Software/Hardware
coolworthy.com,UNKNOWN
eggcartons.com,Business
takeyourpet.com,Public Information
pokazuxa.ru,Marketing/Merchandising
salomonstreet.com,Sports
pureology.com,Fashion/Beauty
66.115.136.27,UNKNOWN
mojoradio.ca,Entertainment
flowersbynet.com,Online Shopping
netvale.com.br,General News
teachers-connect.net,Education/Reference
fashioncosmos.com,Provocative Attire
your-free-pics.com,Pornography
teltex.de,Mobile Phone
2003.com.cn,Portal Sites
bpaww.com,Business
beardogdesign.com,Marketing/Merchandising
wrestlemainia.com,Marketing/Merchandising
accesdmv.com,UNKNOWN
boxingnews.net,Sports
theorderoftime.com,Entertainment
outstandingrevolution.com,UNKNOWN
gorillagrams.com,Online Shopping
momsextop.com,Pornography
discountdecoys.com,Online Shopping
gmcommontraining.com,Business
fairlaneclubofamerica.com,Marketing/Merchandising
vzwpushtotalk.com,Internet Services
rooworld.com,Sports
dantruong.ws,Entertainment
sinharaja.com,Internet Services
tvcharllote.com,Pornography
enacre.net,Business
dizziness-vertigo.com,Education/Reference
wwesmackdownvsraw.com,Malicious Sites
gayseeker.com,Pornography
cpatrak.com,Education/Reference
chillarege.com,Technical Information
myrtlebeachrental.com,Online Shopping
fitnessfirstusa.com,Pharmacy
exclamations-teen-sex.com,Pornography
primpogoda.ru,Public Information
bi-babes.com,Pornography
cocowater.com,Health
pigroast.com,Restaurants
topninedlvr.net,UNKNOWN
moments-notice.com,Travel
action-performance.com,Online Shopping
laopinion.com,General News
cooksonelectronics.com,Business
bloomnet.com,Portal Sites
dixierider.com,Entertainment
nudeanon.com,Pornography
tonylama.com,Fashion/Beauty
aeroquip.com,Online Shopping
loweringcholesterol.net,Health
alsshowplace.com,Pornography
dav.org,Public Information
rcworld2000.com,Marketing/Merchandising
dosomethingpretty.com,Blogs/Wiki
frontier-i.com,Online Shopping
spiritual-medium.com,Religion/Ideologies
kligs.com,Online Shopping
aymcdonald.com,Business
eroticjapanese.com,Pornography
lavee.com,Portal Sites
syswebtelecom.com,Business
n-e-r-d.com,Entertainment
chicagothemovie.com,Blogs/Wiki
federalistpatriot.us,General News
mbda.gov,Government/Military
wifc.com,Entertainment
express-news.com,General News
milliondead.com,Entertainment
collegetowncoeds.com,Pornography
mmrdubbledusee.com,UNKNOWN
starastronomy.org,Education/Reference
celticunited.com,Art/Culture/Heritage
fevochi.cl,Sports
25thida.com,Non-Profit/Advocacy/NGO
governmentauction.com,Auctions/Classifieds
veritape.com,Business
nabiscoworld.com,Marketing/Merchandising
ibargaincity.info,UNKNOWN
renton-chamber.com,Business
usmint.org,Parked Domain
adultdvdsite.co.uk,Pornography
takebackmedicare.org,UNKNOWN
cepri.cl,Business
theexoticimage.com,Pornography
allstardragsters.com,Sports
girlspark.net,Malicious Sites
docmagic.com,Business
kua.com,Business
fabric-mill.com,Online Shopping
optinaccess.com,UNKNOWN
nielson.org,Personal Pages
japhozerubbabel.com,Spam URLs
steinreport.com,General News
swinglifestyle.com,Pornography
westpharmacy.com,Health
redorgy.com,Pornography
porn-pope.com,Pornography
bitwalla.com,Online Shopping
granadakids.com,UNKNOWN
europeonsale.com,Travel
66.69.148.52,UNKNOWN
cpa.org.au,Politics/Opinion
r-landscheidt.net,Internet Services
80000.net,Entertainment
ourinternet.com,Marketing/Merchandising
leftbehind.com,Religion/Ideologies
devianart.com,Parked Domain
absolutely-devon.com,Pornography
netbase.org,Forum/Bulletin Boards
lookingyourbest.com,Health
nichethumbs.com,Pornography
caleb-cutesmoothtwink.co.uk,Pornography
kinkz.co.uk,Pornography
hot-pics.be,Pornography
muicc.com,UNKNOWN
eprofit-dot.com,Parked Domain
phantomhosting.com,Business
prankishes.com,Pornography
arh.org,Health
e-o-n.org,Education/Reference
sportsauthority.com,Online Shopping
freeunderdog.com,Gambling Related
joshuathemovie.com,Entertainment
passwordshell.com,Pornography
abaxi.com,UNKNOWN
penskemotorcars.com,Marketing/Merchandising
studclub.com,Pornography
birddogdistributing.com,Online Shopping
theoregonhomeinspector.com,Marketing/Merchandising
68.202.13.115,UNKNOWN
rahoorkhuit.net,Religion/Ideologies
bmale.com,UNKNOWN
radinassociates.com,Job Search
wamfetishgirls.com,Pornography
obschevy.com,Motor Vehicles
vacuumcleanercenter.com,Online Shopping
lethalporn.com,Pornography
extremepsi.com,Online Shopping
starknights.com,Games
niata.net,Portal Sites
baden-online.de,Public Information
stcc.edu,Education/Reference
shareanalysis.com,Stock Trading
heathershome.net,Business
workathomesource.net,Job Search
perverted-chicks.com,UNKNOWN
hembrasdivinas.com,Pornography
lqyouth.net,Pornography
randomporn.net,Pornography
perfumes2k.com,Fashion/Beauty
flrealtour.com,Internet Services
lasmaslinda.com,Parked Domain
crip.com,Portal Sites
iseeme.com,Online Shopping
chuckecheese.com,Entertainment
teensgetwild.com,Pornography
nude-teen-boys.com,Pornography
keyb-t.com,Finance/Banking
djqbert.com,Entertainment
web-enterprises.com,Internet Services
xxxebony.com,Pornography
barrierislandgraphics.com,Art/Culture/Heritage
101com.com,Business
montanahawk.com,Weapons
gay-erotica-pics.us,Pornography
cave.be,Business
heritagebbc.com,Religion/Ideologies
downsauctionservice.com,Auctions/Classifieds
smutforge.com,Malicious Sites
adu1t.com,Pornography
pepatissimo.com,Pornography
gabriel.com,Marketing/Merchandising
specially-yours.com,Entertainment
vladzone.com,Spyware/Adware/Keyloggers
statdraw.pl,UNKNOWN
sagecraft.com,Entertainment
67.9.150.66,UNKNOWN
aimusa.com,Job Search
bigtitsroundasses.ws,Pornography
paintquality.co.uk,Real Estate
ukdps.co.uk,Government/Military
consumerfirstnews.com,UNKNOWN
2hardcorepornpics.org,Pornography
sportsbet.com,Gambling
inconturbo.com,UNKNOWN
cikgu.net.my,Education/Reference
blogger.com,Blogs/Wiki
milliondollarteam.com,UNKNOWN
e-blue-book.com,UNKNOWN
fetichetotal.com.br,Pornography
adpfsa.com,Business
undagroundartists.com,Entertainment
hogwild.net,Entertainment
greenshield.ca,Health
thehenryford.org,Art/Culture/Heritage
essure.com,Health
racquetballkevin.com,Sports
jupiterisland.com,Travel
mbb1.com,Business
canyonbeachwear.com,Provocative Attire
hazard.com,Public Information
tripnet.com,Entertainment
bestescort4u.co.uk,Pornography
drcarley.com,Personal Pages
girls-fucking-girls.com,Pornography
calvmx.com,Pornography
beachheadcondos.com,Sports
thepaddock.com,Portal Sites
net-magic.net,Online Shopping
queenannebandb.com,Travel
nudeone.com,Pornography
gurry.com,UNKNOWN
trek-marketing.com,Marketing/Merchandising
fragrancebliss.com,Fashion/Beauty
lltek.com,Online Shopping
romplace.com,Parked Domain
roomateservice.com,Forum/Bulletin Boards
w-o-w-xxx.com,Pornography
lighttherapyproducts.com,Health
siteforsoreeyes.org.uk,Humor/Comics
uforadio.com.tw,Entertainment
kablonet.com,Business
integrarx.com,Online Shopping
tropicaltraditions.com,Online Shopping
celebdudes.com,Pornography
sygn.com,Software/Hardware
toronto-exotic-massage.com,Pornography
kgu.de,Health
bungalow.com,Sexual Materials
ners401k.com,Finance/Banking
kidnet.co.il,Education/Reference
profootballhoffestival.com,Sports
justessex.co.uk,Portal Sites
noroeste.com,General News
nudegirl.ca,Pornography
westernpond.com,Online Shopping
alive.com,Health
68.202.175.73,UNKNOWN
postmasterbannernet.com,Portal Sites
packonmuscle.com,Health
dedicatedmicros.com,Software/Hardware
annaolsson.com,Pornography
koedamkennels.com,Marketing/Merchandising
orangepc.ru,Marketing/Merchandising
209.56.4.50,UNKNOWN
surry.com,Health
detailedphysique.com,Health
webwinds.com,Personal Pages
fabrications.com,Spam URLs
cmdconnect.net,Business
nechaev.ru,Marketing/Merchandising
leominsterpopwarner.com,Sports
codmaps.net,Games
