unique_url,url_class
hogan1.com,Marketing/Merchandising
texasproperties.com,Real Estate
centro.org.uk,Public Information
punkoi.de,UNKNOWN
64.239.71.101,UNKNOWN
kiconline.net,Software/Hardware
smokyweb.com,Portal Sites
pravoslavie.by,Malicious Sites
roulette.sh,Gambling
work-from-home-dotcom.com,Job Search
feverpace.com,Internet Services
loveandhonesty.com,Personal Pages
blindspotpro.com,Parked Domain
emailswithlove.com,UNKNOWN
hi-hopes.com,Online Shopping
172.173.110.65,UNKNOWN
chatserve.com,Chat
trinitymedicalcenter.com,Health
newvisions.org,Education/Reference
sandiego-links.com,Pornography
abccommodities.com,Portal Sites
collectivedetective.org,Chat
playcouples.com,Pornography
bernunzio.com,Marketing/Merchandising
php-nuke.org,Malicious Sites
mahina.com,Travel
gayclosetmovies.com,Pornography
65.69.68.134,UNKNOWN
csiss.org,Education/Reference
tematicos.com,Portal Sites
terebi.co.kr,UNKNOWN
littlecooldude.com,UNKNOWN
moviesfone.com,Parked Domain
conectateya.com,Portal Sites
sportsequipmentshop.com,Marketing/Merchandising
yourdailyleadsffa.com,UNKNOWN
gorin.com,Education/Reference
legalhut.net,Education/Reference
meals2us.biz,UNKNOWN
deutschebotschaft-addisabeba.de,UNKNOWN
akca.org,Non-Profit/Advocacy/NGO
planetpaidemail.com,Internet Services
2xt.de,Internet Services
rawcurrent.com,Online Shopping
bouncingsouls.com,Entertainment
62.193.232.163,UNKNOWN
pioneerprodj.com,Entertainment
hollywoodcasinoshreveport.com,Travel
3djeweler.com,Online Shopping
scoreonline.net,Sports
secretaryfantasies.com,Pornography
joecatoon.com,UNKNOWN
bairdhouse.com,Travel
leghumper.com,Pornography
pullmanpacific.com,General News
bigtitgirls.com,Pornography
comic-clipart.de,Entertainment
world-pen-pals.com,Non-Profit/Advocacy/NGO
prizecube.com,Software/Hardware
belllabs.com,Online Shopping
toyportfolio.com,Online Shopping
greatlooksforyou.com,Online Shopping
southerncharms3.com,Pornography
soldierfield.com,Public Information
jewishpeople.net,Religion/Ideologies
fpbinc.com,UNKNOWN
free-manga.net,Pornography
hubsandwheels.com,Online Shopping
echodev.com,Software/Hardware
sexygames.org,Pornography
216.92.178.181,Pornography
arabamericanguide.com,Forum/Bulletin Boards
hiv.com,Education/Reference
adverteergratis.nl,Online Shopping
celebflix.org,Pornography
goodcooking.com,Online Shopping
opaneuktze.be,Pornography
search-dot.com,Spyware/Adware/Keyloggers
liero.com,Parked Domain
coolatlanta.com,UNKNOWN
kingcat.co.uk,UNKNOWN
hrblock.ca,Business
boomland.com,Online Shopping
carbmarch.com,UNKNOWN
vibesparty.com,Forum/Bulletin Boards
vidxpress.com,Pornography
wethotties.com,Pornography
radioplayhouse.com,Entertainment
hardcorelive.com,Pornography
invitel.hu,Internet Services
wc-designs.com,Business
presseportal.de,General News
get-booking.co.uk,Travel
onlytravelers.com,Travel
deal-dudes.com,UNKNOWN
moddingplanet.it,Software/Hardware
tagtear.com,UNKNOWN
turn1.com,Business
venevision.com,Entertainment
221.149.60.126,UNKNOWN
4.35.121.47,Content Server
jonathan-edwards.org,Marketing/Merchandising
vaginalterrorist.com,Pornography
charlottefl.com,Government/Military
widgetgallery.com,Business
ajourjewelry.com,Online Shopping
sunysb.edu,Education/Reference
poconoraceways.com,Recreation/Hobbies
bathandkitchenstudio.com,Real Estate
gulfshoresalabama.com,Travel
shine.net.au,Business
172.177.16.158,UNKNOWN
enemas.com,Pornography
atca.org,Business
revievedpacket.com,UNKNOWN
216.15.255.131,Internet Services
manycockforone.com,Pornography
mauilodging.com,Public Information
silverspot.com,Online Shopping
dita.net,Pornography
boynton-beach.org,Public Information
tipsymoms.com,Pornography
ekalinks.com,UNKNOWN
sex-picture.org,Pornography
alternativehealthvideo.com,Online Shopping
4computer-memory.com,Online Shopping
wetmuffmunching.com,Pornography
perscholas.org,Non-Profit/Advocacy/NGO
rexplorer.net,Interactive Web Applications
bayareajobfinder.com,Job Search
s4lk.co.uk,Health
kristinaville.com,Fashion/Beauty
lennox.com,Business
portaldeatendimento.com.br,Internet Services
muhealth.org,Health
cycle-trader.com,Finance/Banking
acuwork.com,Software/Hardware
audiwerks.com,Motor Vehicles
bianchi.it,Online Shopping
atwork.net,Business
mfiloans.com,Finance/Banking
mossershoes.com,Online Shopping
cinemasavvy.com,Entertainment
rfpi.org,Non-Profit/Advocacy/NGO
jetclick.net,Forum/Bulletin Boards
abc-sex.com,Pornography
sexyporn.com,Pornography
1stwindows.com,Real Estate
palasma.com,Pornography
cassatt-banquetes.com,Restaurants
pixxx.com,Pornography
bargainflights.com,Travel
jonkoping.se,Government/Military
esmgifts39.com,Finance/Banking
wcfx.com,Entertainment
xyonline.net,Sexual Materials
astrotouch.com,Forum/Bulletin Boards
eros-denver.com,Pornography
chat3k.com,Chat
sumware.com,Portal Sites
abcbowling.com,Sports
recursosporno.com,Pornography
officialjavine.com,Parked Domain
teaparty.com,Entertainment
207.44.204.46,UNKNOWN
gigabyte.com,Business
usa.com,Portal Sites
warpedporn.com,Pornography
trauruphabos.org,UNKNOWN
hewad.com,Art/Culture/Heritage
callrank.com,Mobile Phone
searchus.com,Portal Sites
startime.com,Internet Services
aventispharma.com.ec,UNKNOWN
jessiesweb.com,Art/Culture/Heritage
pjp.com,Parked Domain
formw.com,Online Shopping
iwant-news.com,Marketing/Merchandising
netman.ru,Web Mail
ixyz123.com,UNKNOWN
xdesign.net,Internet Services
fabrictraditions.com,Fashion/Beauty
thetgp.net,Pornography
jneuhaus.com,Personal Pages
abdominaltips.com,Health
ooodoggy.com,Portal Sites
danby.com,Online Shopping
168.122.250.247,UNKNOWN
p3partner.com,UNKNOWN
bndir.com,UNKNOWN
onlinecollegereview.com,Education/Reference
eboat.net,Marketing/Merchandising
cool-scooters.com,Parked Domain
debelah.org,UNKNOWN
wendi.com,Health
204.255.212.10,UNKNOWN
skywatchastrology.com,General News
businessregistrations.com,Government/Military
westworld.com,Business
vampporn.com,Pornography
fulltiltpoker.net,Games
allsaturday.net,Online Shopping
avagardner.org,Art/Culture/Heritage
uniquewear.com,Online Shopping
dinnerwarepresale.com,Online Shopping
stolenracecar.com,Marketing/Merchandising
rsrecords.com,Entertainment
malecamp.com,Malicious Sites
64.121.59.224,UNKNOWN
otdelstroy.ru,Real Estate
udick.com,Pornography
protackle.net,Marketing/Merchandising
brazilsex.com,Pornography
webspacer.net,Software/Hardware
makeitgointernet.net,Pornography
buckworks.com,Online Shopping
willybrush.com,Pornography
buckheadcoach.com,Travel
century21mortgage.com,Finance/Banking
emcoltd.com,Business
mundochistes.com,Humor/Comics
seminis.com,Health
blitzsports.com,Sports
hampershampershampers.com,UNKNOWN
ultimateveggie.com,Religion/Ideologies
my100megs.com,Business
readertime.com,Parked Domain
eole.org,Spyware/Adware/Keyloggers
msgserver.net,Internet Services
172.137.234.154,UNKNOWN
halloween-safety.com,Education/Reference
prostockonline.com,Finance/Banking
209.58.242.206,UNKNOWN
200.80.37.20,Gambling
freejob.com,Job Search
38.113.207.111,UNKNOWN
38.113.207.110,UNKNOWN
gorell.com,Real Estate
7uw.com,UNKNOWN
clearbadcredit.com,UNKNOWN
dizain.ru,Business
hornytroll.com,Pornography
freeoffersdailyist.com,UNKNOWN
thedonovan.com,Personal Pages
stockingsbabes.com,Pornography
whitedoberman.org,Personal Pages
bestcameras.co.uk,Online Shopping
pinkjpg.com,UNKNOWN
freedom2004.us,UNKNOWN
mhclearning.com,Education/Reference
motocar.co.il,Sports
bookdigger.com,Online Shopping
gt.se,General News
69proof.com,Pornography
marksmailserver.com,UNKNOWN
cityoftakomapark.org,Travel
tokyofriends.com,Dating/Personals
classic-cars-worldwide.com,Entertainment
peterose.com,Sports
boys-love.info,Potential Criminal Activities
istanbulguide.net,Travel
dballzero.com,UNKNOWN
pussyclub.com,Pornography
emu.kz,Education/Reference
laserlink.net,Parked Domain
intouch-usa.com,Software/Hardware
presaromana.com,Pornography
englishsetterrescue.org,Non-Profit/Advocacy/NGO
daves-free-sex-pics-and-movies.com,Pornography
eintercall.com,Business
neis.com,Portal Sites
laguitare.com,Recreation/Hobbies
ddcd.net,Software/Hardware
fordmustangz.com,Pornography
dragonhoarde.com,UNKNOWN
vageorgia.com,Parked Domain
mature-fucking-young-boys.com,Malicious Sites
dimensionshealth.org,Health
ramis1dollarmovies.com,Pornography
xonemarketing.com,Marketing/Merchandising
drbunn.com,Health
dyoks.com,Humor/Comics
srs.com,Software/Hardware
concentra.com,Health
harmanaudio.com,Online Shopping
unexpectedsummer.com,Business
simplerleads.com,Internet Services
theoutlawdad.com,Games
sexxnews.com,Pornography
evansville.com,General News
soft-toy.co.uk,Online Shopping
costumecollege.org,UNKNOWN
scriptmag.com,General News
lacrosseuniversity.com,Education/Reference
christopher.com,Portal Sites
atc-enviro.com,Internet Services
bjsonline.com,Art/Culture/Heritage
toltecayotl.org,Education/Reference
abgender.com,Nudity
aren.org,Religion/Ideologies
drunk-college-parties.com,Pornography
172.168.15.90,UNKNOWN
harem.com,Potential Criminal Activities
in-the-vip.net,Pornography
bluebomber.com,Games
customsense.biz,Online Shopping
ebiz-trialsandtribs.com,UNKNOWN
datasend.biz,UNKNOWN
fullddl.com,Potential Criminal Activities
zachwhite.com,Malicious Sites
ozcrafts.com,Online Shopping
goody.ru,UNKNOWN
theglockguy.com,Online Shopping
teen-sites.org,Pornography
capitalcentral.com,General News
windchimespavilion.com,Online Shopping
pure-lolita.com,Potential Criminal Activities
dvd43.com,Shareware/Freeware
ravishingindians.com,Pornography
threadcheck.com,Business
ub.to,Parked Domain
twistedmetalblack.com,Parked Domain
naawp.com,Parked Domain
tuxedopalace.com,Fashion/Beauty
malutattoo.com,Entertainment
region33.ru,UNKNOWN
transcriptionservices.net,Health
moparalley.org,Marketing/Merchandising
cl.com,Education/Reference
jeepland.net,Malicious Sites
flower-paintings-by-diana.com,UNKNOWN
yogawest.com,Marketing/Merchandising
66.130.152.113,UNKNOWN
sesso-amatoriale-gratis.com,Pornography
abobo.com,Forum/Bulletin Boards
clicked.com,Business
alfacentro.com,Entertainment
allavssites.com,Pornography
4mycommunity.com,UNKNOWN
babybecause.com,Online Shopping
anagramania.com,Pornography
nobannersex.com,Pornography
airwise.com,Travel
67.60.75.177,UNKNOWN
adformatie.nl,Marketing/Merchandising
batbeyond.com,Entertainment
westburypharmacy.com,Health
imporno.com,Pornography
bigbrothermagazine.com,Profanity
mycruiseshipjob.com,Job Search
appcluster09.com,Business
upp2ono41xi9rman2.com,Art/Culture/Heritage
tools4floors.com,Online Shopping
hot-celebs-sex-pics.net,Pornography
800predict.com,Entertainment
cheatdemon.com,Games
viptelki.com,Pornography
flyingsites.co.uk,Marketing/Merchandising
advantagecredit.com,Finance/Banking
hentaigate.com,Pornography
hot-cds.com,Pornography
m4mescorts.com,Pornography
sandrabullockcentral.com,Entertainment
aaamodesto.org,UNKNOWN
courtyardtimessquare.com,Travel
planeacionweb.com,Online Shopping
topbustybabes.com,Pornography
hypnox.com,Art/Culture/Heritage
interactivephysiology.com,Internet Services
pornstarlist.us,Pornography
remstock.com,UNKNOWN
rcbo.org,Religion/Ideologies
forex-newsletters.com,Stock Trading
asian-pleasures-asianpleasures.com,Pornography
carnivalofvenice.com,Art/Culture/Heritage
interconnect.net,Internet Services
33av.com,Pornography
turtlecove.com.au,Travel
amateurtitsporn.com,Pornography
tumen.info,Public Information
bigboobsfuck.com,Pornography
sybase.com,Business
funpic24.de,Pornography
168.122.250.43,UNKNOWN
janson-beckett.com,Fashion/Beauty
antikviteter.net,Art/Culture/Heritage
unfailinglove.org,UNKNOWN
onlinemoneymakingideas.com,UNKNOWN
churchtoons.com,Pornography
bras-lingerie-underwear-panties.com,Online Shopping
philosophysphere.com,Education/Reference
rammstien.com,Pornography
oreillys.com,Restaurants
academysex.com,Pornography
marketproinc.com,Job Search
webzinex.com,Pornography
bargaininfinity.com,UNKNOWN
kmts.com,Entertainment
beyonceknowlespics.com,Pornography
fihorn.biz,Pornography
metaexchange.com,Business
yourswerveon.com,Extreme
turtletrack.org,Art/Culture/Heritage
adultsexstorylinks.com,Malicious Sites
